ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,5.0,9,Miercoles,8.0,3.0,43.0,1.0,2.0,34.3,6.6,5.0,10.27,2.62,2.4,4.0,28.58,107.5,35.62
2022.0,1.0,5.0,10,Miercoles,8.0,3.0,42.0,4.0,7.0,35.24,6.6,5.0,10.27,2.62,2.4,14.0,29.37,105.0,37.69
2022.0,1.0,5.0,11,Miercoles,8.0,3.0,36.0,8.0,10.0,44.62,6.6,5.0,10.27,2.62,2.4,20.0,37.18,90.0,37.39
2022.0,1.0,5.0,12,Miercoles,8.0,3.0,36.0,2.0,2.0,45.15,6.6,5.0,10.27,2.62,2.4,4.0,37.62,90.0,33.5
2022.0,1.0,5.0,13,Miercoles,8.0,3.0,36.0,1.0,1.0,46.84,6.6,5.0,10.27,2.62,2.4,2.0,39.03,90.0,33.36
2022.0,1.0,5.0,14,Miercoles,8.0,3.0,31.0,1.0,2.0,52.0,6.6,5.0,10.28,2.62,2.4,4.0,43.33,77.5,31.81
2022.0,1.0,5.0,15,Miercoles,8.0,3.0,36.0,1.0,1.0,45.97,6.6,5.0,10.28,2.62,2.4,2.0,38.31,90.0,33.18
2022.0,1.0,5.0,16,Miercoles,8.0,3.0,38.0,2.0,5.0,41.28,6.6,5.0,10.28,2.62,2.4,10.0,34.4,95.0,35.45
2022.0,1.0,5.0,17,Miercoles,8.0,3.0,37.0,9.0,12.0,39.52,6.6,5.0,10.28,2.62,2.4,24.0,32.93,92.5,37.96
2022.0,1.0,5.0,18,Miercoles,8.0,3.0,32.0,12.0,11.0,41.31,6.6,5.0,10.28,2.62,2.4,22.0,34.42,80.0,34.7
2022.0,1.0,5.0,19,Miercoles,8.0,3.0,34.0,2.0,2.0,39.31,6.6,5.0,10.28,2.62,2.4,4.0,32.76,85.0,31.04
2022.0,1.0,5.0,20,Miercoles,8.0,3.0,32.0,1.0,1.0,38.9,6.6,5.0,10.28,2.62,2.4,2.0,32.42,80.0,29.2
2022.0,1.0,5.0,21,Miercoles,8.0,3.0,47.0,1.0,1.0,23.35,6.6,5.0,10.28,2.62,2.4,2.0,19.46,117.5,35.34
2022.0,1.0,5.0,22,Miercoles,8.0,3.0,60.0,1.0,1.0,14.04,6.6,5.0,10.28,2.62,2.4,2.0,11.7,150.0,41.52
2022.0,1.0,5.0,23,Miercoles,8.0,3.0,26.0,16.0,15.0,42.56,6.6,5.0,10.28,2.62,2.4,30.0,35.47,65.0,33.22
2022.0,1.0,6.0,0,Jueves,8.0,3.0,26.0,5.0,5.0,37.62,4.4,0.0,10.48,2.63,2.4,10.0,31.35,65.0,27.19
2022.0,1.0,6.0,1,Jueves,8.0,3.0,28.0,1.0,1.0,34.09,4.4,0.0,10.48,2.63,2.4,2.0,28.41,70.0,25.7
2022.0,1.0,6.0,2,Jueves,8.0,3.0,21.0,3.0,3.0,41.41,4.4,0.0,10.48,2.63,2.4,6.0,34.51,52.5,23.85
2022.0,1.0,6.0,3,Jueves,8.0,3.0,14.0,1.0,1.0,47.95,4.4,0.0,10.48,2.63,2.4,2.0,39.96,35.0,19.84
2022.0,1.0,6.0,4,Jueves,8.0,3.0,11.0,4.0,4.0,51.68,4.4,0.0,10.48,2.63,2.4,8.0,43.07,27.5,20.24
2022.0,1.0,6.0,5,Jueves,8.0,3.0,11.0,4.0,4.0,53.03,4.4,0.0,10.48,2.63,2.4,8.0,44.19,27.5,20.52
2022.0,1.0,6.0,6,Jueves,8.0,3.0,18.0,5.0,5.0,43.99,4.4,0.0,10.49,2.63,2.4,10.0,36.66,45.0,23.52
2022.0,1.0,6.0,7,Jueves,8.0,3.0,24.0,1.0,1.0,40.99,4.4,0.0,10.49,2.63,2.4,2.0,34.16,60.0,24.64
2022.0,1.0,6.0,8,Jueves,8.0,3.0,35.0,1.0,1.0,23.31,4.4,0.0,10.49,2.63,2.4,2.0,19.42,87.5,27.83
2022.0,1.0,6.0,9,Jueves,8.0,3.0,35.0,5.0,6.0,18.78,4.4,0.0,10.49,2.63,2.4,12.0,15.65,87.5,29.39
2022.0,1.0,6.0,10,Jueves,8.0,3.0,23.0,3.0,3.0,44.55,4.4,0.0,10.49,2.63,2.4,6.0,37.12,57.5,25.76
2022.0,1.0,6.0,11,Jueves,8.0,3.0,22.0,3.0,3.0,46.59,4.4,0.0,10.49,2.63,2.4,6.0,38.83,55.0,25.56
2022.0,1.0,6.0,12,Jueves,8.0,4.0,20.0,4.0,5.0,53.85,4.4,0.0,10.49,2.63,3.2,10.0,44.88,50.0,27.02
2022.0,1.0,6.0,13,Jueves,8.0,4.0,20.0,16.0,17.0,52.75,4.4,0.0,10.49,2.63,3.2,34.0,43.96,50.0,32.79
2022.0,1.0,6.0,14,Jueves,8.0,3.0,25.0,6.0,8.0,50.07,4.4,0.0,10.49,2.63,2.4,16.0,41.72,62.5,30.66
2022.0,1.0,6.0,15,Jueves,8.0,3.0,27.0,10.0,11.0,48.2,4.4,0.0,10.49,2.63,2.4,22.0,40.17,67.5,33.02
2022.0,1.0,6.0,16,Jueves,8.0,3.0,30.0,11.0,13.0,45.77,4.4,0.0,10.49,2.63,2.4,26.0,38.14,75.0,35.38
2022.0,1.0,6.0,17,Jueves,8.0,3.0,38.0,18.0,19.0,37.41,4.4,0.0,10.49,2.63,2.4,38.0,31.17,95.0,41.64
2022.0,1.0,6.0,18,Jueves,8.0,3.0,62.0,10.0,13.0,15.3,4.4,0.0,10.5,2.63,2.4,26.0,12.75,155.0,49.04
