nombreEmision,Unidad,tipo_dato,dato,year,valor,Textbox5
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2018,192.460,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2019,184.339,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2020,141.515,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2014,63.214,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2015,62.215,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2016,59.426,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2017,57.033,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2018,55.289,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2019,53.177,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta rural,2020,43.445,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2014,174.875,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2015,175.225,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2016,174.277,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2017,172.915,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2018,169.319,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2019,167.996,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta urbana,2020,131.080,
Material particulado,Toneladas,Vehículo,Turismos,2014,7.626,26.073
Material particulado,Toneladas,Vehículo,Turismos,2015,7.239,26.265
Material particulado,Toneladas,Vehículo,Turismos,2016,7.000,26.263
Material particulado,Toneladas,Vehículo,Turismos,2017,6.870,26.451
Material particulado,Toneladas,Vehículo,Turismos,2018,6.974,26.750
Material particulado,Toneladas,Vehículo,Turismos,2019,6.861,26.661
Material particulado,Toneladas,Vehículo,Turismos,2020,5.310,21.453
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2014,1.458,26.073
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2015,1.492,26.265
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2016,1.383,26.263
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2017,1.450,26.451
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2018,1.407,26.750
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2019,1.423,26.661
Material particulado,Toneladas,Vehículo,"Furgonetas < 3,5 t",2020,838,21.453
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2014,1.899,26.073
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2015,1.884,26.265
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2016,1.762,26.263
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2017,1.633,26.451
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2018,1.499,26.750
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2019,1.346,26.661
Material particulado,Toneladas,Vehículo,"Camiones >= 3,5 t y autobuses",2020,1.136,21.453
Material particulado,Toneladas,Vehículo,Motos,2014,192,26.073
Material particulado,Toneladas,Vehículo,Motos,2015,181,26.265
Material particulado,Toneladas,Vehículo,Motos,2016,174,26.263
Material particulado,Toneladas,Vehículo,Motos,2017,169,26.451
Material particulado,Toneladas,Vehículo,Motos,2018,169,26.750
Material particulado,Toneladas,Vehículo,Motos,2019,175,26.661
Material particulado,Toneladas,Vehículo,Motos,2020,118,21.453
Material particulado,Toneladas,Vehículo,Otras emisiones,2014,14.898,26.073
Material particulado,Toneladas,Vehículo,Otras emisiones,2015,15.469,26.265
Material particulado,Toneladas,Vehículo,Otras emisiones,2016,15.943,26.263
Material particulado,Toneladas,Vehículo,Otras emisiones,2017,16.329,26.451
Material particulado,Toneladas,Vehículo,Otras emisiones,2018,16.702,26.750
Material particulado,Toneladas,Vehículo,Otras emisiones,2019,16.856,26.661
Material particulado,Toneladas,Vehículo,Otras emisiones,2020,14.051,21.453
Material particulado,Toneladas,Pauta,Pauta interurbana,2014,5.032,
Material particulado,Toneladas,Pauta,Pauta interurbana,2015,4.881,
Material particulado,Toneladas,Pauta,Pauta interurbana,2016,4.610,
Material particulado,Toneladas,Pauta,Pauta interurbana,2017,4.549,
Material particulado,Toneladas,Pauta,Pauta interurbana,2018,4.454,
Material particulado,Toneladas,Pauta,Pauta interurbana,2019,4.325,
Material particulado,Toneladas,Pauta,Pauta interurbana,2020,3.199,
Material particulado,Toneladas,Pauta,Pauta rural,2014,1.493,
Material particulado,Toneladas,Pauta,Pauta rural,2015,1.432,
Material particulado,Toneladas,Pauta,Pauta rural,2016,1.354,
Material particulado,Toneladas,Pauta,Pauta rural,2017,1.315,
Material particulado,Toneladas,Pauta,Pauta rural,2018,1.296,
Material particulado,Toneladas,Pauta,Pauta rural,2019,1.258,
Material particulado,Toneladas,Pauta,Pauta rural,2020,1.018,
Material particulado,Toneladas,Pauta,Pauta urbana,2014,4.650,
Material particulado,Toneladas,Pauta,Pauta urbana,2015,4.483,
Material particulado,Toneladas,Pauta,Pauta urbana,2016,4.356,
Material particulado,Toneladas,Pauta,Pauta urbana,2017,4.258,
Material particulado,Toneladas,Pauta,Pauta urbana,2018,4.298,
Material particulado,Toneladas,Pauta,Pauta urbana,2019,4.222,
Material particulado,Toneladas,Pauta,Pauta urbana,2020,3.184,

